Year,Country,Life_evaluation,Conflit,Water_Access,population using the Internet,Coastline,Net_Migration,GDP_per_capita,HDI,GII,Freedom_Score,PM25,Suicide_Rate
2020,Tunisia,4.596,0.0,95.120374054685,68.5564,0.7,-19188.0,3548.65363663803,0.733,0.227,70.0,24.1829826735327,1.89
2020,Turkmenistan,5.066,0.0,99.3966548614914,,0.0,19913.0,5972.72356566861,0.744,,2.0,19.5997611438189,6.52
2020,Türkiye,4.948,1.0,95.9525757495893,77.6696,0.92,37934.0,8798.11791709313,0.838,0.266,32.0,21.6120469179783,2.98
2020,Uganda,4.636,0.0,56.2751724073816,7.4,0.0,43464.0,845.766463890124,0.571,0.525,34.0,33.8077192571642,4.93
2020,Ukraine,4.875,1.0,93.4712072863379,75.0379,0.46,-4167.0,3709.76928710938,0.783,,62.0,14.90010098879,22.12
2020,United Arab Emirates,6.561,0.0,99.9999979225426,100.0,1.59,92541.0,37991.7492971665,0.909,0.03,17.0,36.3055030826594,2.38
2020,United Kingdom,7.064,0.0,100.0,94.8182,5.08,144221.0,40812.6794663879,0.93,0.094,94.0,9.91288560282114,8.9
2020,United States,6.951,0.0,99.8204204612721,90.3447,0.21,329769.0,63515.9491807833,0.925,0.181,86.0,7.81485752365112,14.96
2020,Uruguay,6.431,0.0,99.5703038278437,85.471,0.37,-1482.0,15757.5355995779,0.837,0.235,98.0,10.5717923259135,22.77
2020,Uzbekistan,6.179,0.0,95.9578060001248,71.1,0.0,-9208.0,1978.28051860763,0.723,0.266,10.0,31.9604294559849,8.58
2020,Venezuela,4.892,0.0,93.6858007093452,,0.31,-524649.0,1506.0436210041,0.699,0.513,16.0,15.2565796212874,7.33
2020,Viet Nam,5.411,0.0,96.2941639364055,70.3,1.05,-6457.0,3534.03953482647,0.755,0.312,20.0,20.8010641731194,6.83
2020,Yemen,3.658,1.0,68.2329200343338,13.8152,0.36,-97982.0,,0.459,0.808,11.0,34.8323598356099,3.93
2020,Zambia,4.073,0.0,69.1403580014109,24.5,0.0,8156.0,951.644316655957,0.578,0.523,54.0,24.3085919008655,6.0
2020,Zimbabwe,3.145,0.0,67.1664236498224,29.2986,0.0,-89440.0,2059.67445384499,0.582,0.519,29.0,19.4941796611344,15.51
