Year,Country,Life_evaluation,Conflit,Water_Access,population using the Internet,Coastline,Net_Migration,GDP_per_capita,HDI,GII,Freedom_Score,PM25,Suicide_Rate
2015,Afghanistan,3.36,1.0,60.5153476686209,8.26,0.0,-286314.0,565.569730408751,0.496,0.683,24.0,73.4908176326415,3.46
2015,Albania,4.655,0.0,93.3943279564504,56.9,1.26,-20500.0,4199.53912925398,0.797,0.179,67.0,19.121557306579,4.13
2015,Algeria,6.355,1.0,91.4201507009501,38.2,0.04,-27638.0,4685.05902729002,0.737,0.397,34.0,25.6188658260447,2.17
2015,Angola,3.866,0.0,58.6196312007677,22.0,0.13,74171.0,3641.72893919944,0.603,0.549,28.0,25.0021502571501,6.56
2015,Argentina,6.65,0.0,98.9823076742804,68.0431,0.18,5464.0,13679.6264980954,0.859,0.338,80.0,14.6245514656634,8.77
2015,Armenia,4.36,1.0,99.2198934316356,59.1008,0.0,-15225.0,3512.39350276709,0.777,0.301,46.0,38.1148586893988,6.11
2015,Australia,7.313,0.0,99.9700064923964,84.5605,0.34,212350.0,56970.3613028094,0.938,0.109,97.0,7.18466162026884,13.64
2015,Austria,7.119,0.0,100.0,83.9401,0.0,115175.0,43915.228020857,0.919,0.083,96.0,13.5999635409,16.07
2015,Azerbaijan,5.291,1.0,89.4430394265685,77.0,0.0,1073.0,5500.50364628486,0.771,0.341,20.0,25.1867220505416,2.0
2015,Bahrain,6.218,0.0,99.9295906158634,93.4783,24.21,36809.0,23734.0551143019,0.868,0.244,15.0,71.5594978371491,5.27
2015,Bangladesh,4.643,1.0,97.4031438216165,12.9,0.4,-909223.0,1224.38647668165,0.621,0.563,50.0,64.1084295201163,2.97
2015,Belarus,5.802,0.0,98.8292261861592,62.2304,0.0,18088.0,5967.05595058777,0.825,0.128,14.0,17.6059281150121,21.92
2015,Belgium,6.929,0.0,99.9999977589531,85.0529,0.22,63536.0,40893.804537772,0.933,0.062,97.0,13.3390429399775,18.61
2015,Belize,5.956,0.0,93.1158763105632,41.59,1.68,1596.0,6154.62264230369,0.721,0.429,87.0,27.5566748212023,5.71
2015,Benin,3.484,0.0,66.6240261475915,11.255,0.11,3369.0,1002.41886879614,0.511,0.659,81.0,66.6561284323416,7.39
2015,Bhutan,5.196,0.0,96.4055382033785,39.8,0.0,450.0,2954.04081911097,0.637,0.385,56.0,37.4856911286561,5.3
2015,Bolivia,5.822,0.0,89.3856764745398,37.4868,0.0,-10525.0,2996.01289811344,0.704,0.441,68.0,27.4574711709407,5.59
2015,Bosnia and Herzegovina,5.163,0.0,96.0694403538991,52.6,0.04,-33948.0,4662.25869219448,0.769,,60.0,33.8055310132726,10.63
2015,Botswana,3.974,0.0,87.9952713631677,37.3121,0.0,-9599.0,6141.20394726616,0.69,0.505,73.0,22.0461450923733,11.06
2015,Brazil,6.952,1.0,97.7078492139171,58.328,0.09,-173611.0,8936.1955889444,0.764,0.436,81.0,12.4042007642389,6.11
2015,Bulgaria,4.217,0.0,99.3537331088916,56.6563,0.32,-4227.0,7268.65445473873,0.824,0.218,79.0,20.7936901250081,9.95
2015,Burkina Faso,3.739,0.0,51.9651331528119,6.55,0.0,-19726.0,630.124750752312,0.419,0.61,45.0,71.873244459767,8.84
2015,Burundi,2.905,1.0,60.754598685409,2.0,0.0,-236207.0,254.402585226788,0.432,0.514,32.0,30.120746318795,6.88
2015,Cambodia,3.907,0.0,72.7747960661074,6.43319,0.24,-58101.0,1547.32010444393,0.562,0.519,31.0,21.599028896344,4.45
2015,Cameroon,4.513,1.0,66.594406364624,18.3,0.08,42008.0,1415.00009710569,0.575,0.573,25.0,51.9499452409616,8.45
2015,Canada,7.404,0.0,98.8340306892804,90.0,2.02,224332.0,43594.1941045394,0.932,0.107,98.0,7.11576183142395,13.43
2015,Chad,3.763,1.0,47.7824336610333,3.5,0.0,-48918.0,993.990730610869,0.396,,21.0,64.3827504839855,5.14
2015,Chile,6.705,0.0,98.1315104153015,76.6296,0.85,55689.0,13433.9202987032,0.855,0.287,95.0,24.2782298076617,10.32
2015,China,5.245,1.0,91.5125864728114,50.3,0.15,-646941.0,8175.33285077393,0.75,0.202,17.0,50.832537964484,8.69
2015,Colombia,6.481,1.0,95.1389846235131,55.905,0.28,-41123.0,6248.51490534512,0.767,0.417,63.0,17.6079787372288,4.13
2015,Comoros,3.956,0.0,86.0191792490847,7.45916,15.67,-2815.0,1329.37048235986,0.565,0.633,55.0,11.9089280291946,6.37
2015,Congo,4.236,0.0,70.8834804766701,7.61597,0.05,-18207.0,2439.35189403696,0.643,0.615,30.0,30.5591063026375,6.71
2015,Costa Rica,7.087,0.0,99.1313622232054,59.763,2.52,1617.0,11714.7105980732,0.803,0.282,90.0,17.6636155108417,6.37
2015,Croatia,5.488,0.0,99.9007659561635,69.845,10.32,-27501.0,12283.7840620053,0.852,0.143,86.0,20.1718710437292,17.37
2015,Cyprus,5.546,0.0,99.7863671756961,71.7157,7.01,11277.0,23088.44140625,0.882,0.209,93.0,16.9122147785325,4.95
2015,Czechia,6.596,0.0,98.7304761661286,75.6688,0.0,5037.0,17931.5987670768,0.9,0.14,95.0,17.8128111083862,13.54
2015,Côte d’Ivoire,3.916,0.0,,38.44,0.16,522.0,1814.71855088017,0.519,0.631,46.0,61.954609777616,8.06
2015,DR Congo,4.272,1.0,36.3108122967194,3.8,0.0,-17711.0,495.826633014883,0.477,0.645,25.0,28.461870876218,8.2
2015,Denmark,7.526,0.0,100.0,96.3305,16.97,42284.0,53094.0133607574,0.943,0.034,98.0,10.2267270069046,11.03
2015,Dominican Republic,5.155,0.0,95.9246900261845,54.2158,2.64,-36375.0,6800.95309395474,0.747,0.466,73.0,19.9571847572804,6.43
2015,Ecuador,5.976,0.0,90.1212871773867,48.9404,0.79,14724.0,5976.1596805651,0.764,0.391,59.0,20.1729639726852,8.38
2015,Egypt,4.362,1.0,97.9255148711552,37.8194,0.24,-193298.0,3306.98159414141,0.706,0.542,26.0,67.6489631610219,0.97
2015,El Salvador,6.068,0.0,86.4045677725112,26.8026,1.46,-51278.0,3790.34089108162,0.667,0.378,75.0,23.9410831694199,11.86
2015,Estonia,5.517,0.0,99.6927225302901,88.4097,8.39,4261.0,17722.1557669523,0.888,0.128,95.0,7.18496063252666,15.73
2015,Ethiopia,4.508,1.0,42.0272706430081,13.8552,0.0,62785.0,597.912113218663,0.456,0.533,18.0,31.4436090208599,5.21
2015,Finland,7.413,0.0,100.0,86.4221,0.37,12655.0,42560.3456767103,0.938,0.056,100.0,5.62500854589343,14.09
2015,France,6.478,1.0,99.9999999037222,78.006,0.63,-345.0,36702.4323733379,0.901,0.096,95.0,11.3442976642006,15.57
2015,Gabon,4.121,0.0,86.2930339752905,45.7845,0.33,12041.0,7047.12654634355,0.72,0.53,34.0,30.7390246342706,9.69
2015,Georgia,4.252,0.0,96.1014497266011,47.5698,0.44,-13321.0,4086.6223465965,0.807,0.36,64.0,20.3304736500391,5.58
2015,Germany,6.994,0.0,100.0,87.5898,0.67,1175283.0,41929.7549110722,0.948,0.076,96.0,12.8253525089793,13.3
2015,Ghana,4.276,0.0,80.631160872114,23.0,0.23,-13306.0,1722.77282833606,0.588,0.553,84.0,68.0112284884927,5.48
2015,Greece,5.033,0.0,99.988523105293,66.835,10.37,-43462.0,17980.7298238137,0.888,0.125,83.0,17.2372072771469,4.94
2015,Guatemala,6.324,0.0,91.1829418884206,28.8059,0.37,-48179.0,3893.50533299068,0.638,0.529,55.0,27.4004163899267,5.46
2015,Guinea,3.607,0.0,63.1625705426145,9.2,0.13,-15117.0,747.356966759448,0.465,,41.0,54.2776680884158,5.04
2015,Haiti,4.028,0.0,67.2702221922087,14.2,6.38,-32669.0,1411.12684746796,0.552,0.625,41.0,21.5058632915395,8.13
2015,Honduras,4.871,1.0,92.421451159935,27.1395,0.73,-6509.0,2271.20265980349,0.61,0.432,49.0,24.6931989438968,6.5
2015,Hong Kong SAR of China,5.458,,99.7850327712868,84.9484,67.12,10547.0,42432.1619740441,0.937,,65.0,,
2015,Hungary,5.145,0.0,98.3938802461663,72.8347,0.0,13856.0,12782.9412577973,0.847,0.261,82.0,17.9802501362595,20.01
2015,Iceland,7.501,0.0,100.0,98.2,4.83,1499.0,53505.6964079339,0.956,0.062,99.0,5.73328095255678,13.97
2015,India,4.404,1.0,89.7387066732488,14.9,0.21,-655085.0,1583.99815907985,0.633,0.496,78.0,73.810991410386,14.63
2015,Indonesia,5.314,0.0,87.3023728948535,22.0627,2.85,-28487.0,3288.22269725538,0.701,0.477,64.0,18.6712786457665,1.6
2015,Iran,4.813,0.0,96.7529192600073,45.335,0.15,-46239.0,4952.73355532178,0.788,0.532,17.0,38.6980329606897,4.66
