Year,Country,Life_evaluation,Conflit,Water_Access,population using the Internet,Coastline,Net_Migration,GDP_per_capita,HDI,GII,Freedom_Score,PM25,Suicide_Rate
2016,Afghanistan,3.794,1.0,62.8220704134542,11.0,0.0,-143049.0,522.082215583898,0.495,0.682,24.0,72.7659101386992,3.47
2016,Albania,4.644,0.0,93.7548764271568,59.6,1.26,-9347.0,4457.63412207495,0.797,0.162,67.0,17.602163992984,4.03
2016,Algeria,5.872,1.0,91.56940001457,42.9455,0.04,-6438.0,4424.98529027556,0.743,0.392,35.0,25.5531525527547,2.06
2016,Angola,3.795,1.0,60.1920620185519,23.2,0.13,91614.0,2051.81462126253,0.609,0.544,24.0,25.1807008149163,6.49
2016,Argentina,6.599,0.0,99.0413738458383,70.969,0.18,5215.0,12699.9623137756,0.857,0.333,79.0,14.2700594540808,8.41
2016,Armenia,4.376,1.0,99.3200449240504,64.346,0.0,-14697.0,3524.42476874707,0.783,0.296,46.0,35.8609078798257,6.0
2016,Australia,7.284,0.0,99.9699685481919,86.54,0.34,254648.0,50084.4440606385,0.939,0.101,98.0,7.20069562395068,12.5
2016,Austria,7.006,0.0,100.0,84.3237,0.0,65976.0,45061.4993920192,0.921,0.081,95.0,12.5143795701306,15.63
2016,Azerbaijan,5.234,1.0,90.3873981119226,78.2,0.0,4671.0,3880.6852276838,0.772,0.328,16.0,24.3527968807853,1.91
2016,Bahrain,6.087,0.0,99.9276522968873,98.0,24.21,46833.0,23800.001440631,0.871,0.237,14.0,64.2193035294402,5.82
2016,Bangladesh,4.608,1.0,97.5826981722131,18.1,0.4,-918770.0,1649.28380858601,0.632,0.557,49.0,63.6784141329752,2.98
2016,Belarus,5.569,0.0,98.9152496756769,71.113,0.0,8272.0,5039.77560949445,0.825,0.119,17.0,15.8319434819688,20.88
2016,Belgium,6.891,1.0,99.9999981505316,86.5165,0.22,28090.0,41854.5498296444,0.936,0.058,96.0,12.3939007132505,19.22
2016,Belize,5.956,0.0,93.3669304730938,44.5757,1.68,3313.0,6140.86713919469,0.727,0.44,87.0,25.608806996967,5.45
2016,Benin,3.657,0.0,66.9697053582587,14.5,0.11,3837.0,1010.5338961993,0.51,0.659,82.0,59.4793406242621,7.32
2016,Bhutan,5.011,0.0,97.1361403441531,46.5,0.0,1116.0,3152.30905106786,0.647,0.363,56.0,36.9416122831151,5.24
2016,Bolivia,5.823,0.0,89.856829031751,39.6975,0.0,-10071.0,3035.87347732132,0.714,0.433,68.0,28.0546140290721,5.58
2016,Bosnia and Herzegovina,5.182,0.0,96.0724133360056,60.2565,0.04,-32173.0,4928.5665903114,0.776,0.169,57.0,30.384676952561,10.52
2016,Botswana,3.766,0.0,88.9036684785342,42.2576,0.0,-10286.0,6749.05994339013,0.696,0.48,73.0,21.2522533064009,11.01
2016,Brazil,6.635,1.0,97.921760549945,60.8725,0.09,-92989.0,8836.28546025694,0.765,0.432,81.0,12.1085038135727,6.25
2016,Bulgaria,4.714,0.0,99.3327228860736,59.8255,0.32,-9482.0,7822.49923292968,0.827,0.217,80.0,19.979167405734,9.71
2016,Burkina Faso,4.032,1.0,51.6480569278797,7.14,0.0,-7598.0,663.742364842886,0.427,0.606,59.0,66.0917117316937,8.83
2016,Burundi,2.905,1.0,61.5013152508053,2.2,0.0,-109296.0,232.937812100153,0.436,0.51,19.0,30.7630623664928,6.98
2016,Cambodia,4.168,0.0,73.9897142664689,32.3985,0.24,-51324.0,1675.19555711109,0.57,0.506,32.0,22.4071810127085,4.45
2016,Cameroon,4.695,1.0,67.1696687119462,20.6,0.08,13255.0,1441.7201725688,0.579,0.572,24.0,44.7692534342126,8.35
2016,Canada,7.316,0.0,98.7664020547712,91.16,2.02,329455.0,42314.0615817218,0.933,0.102,99.0,6.40675155079521,11.49
2016,Central African Republic,2.693,1.0,41.2766435897443,3.1,0.0,-52607.0,387.176203444318,0.376,,7.0,34.4108147859314,10.44
2016,Chad,3.936,1.0,48.4497536859394,5.8,0.0,21540.0,861.831767630746,0.396,,20.0,58.3859502502274,5.09
2016,Chile,6.652,0.0,98.240006839884,83.5586,0.85,135864.0,13649.8520452803,0.859,0.267,95.0,24.2218424802596,10.3
2016,China,5.273,0.0,92.0580332231986,53.2,0.15,-153056.0,8254.86859320357,0.758,0.192,16.0,46.8324682508133,8.65
2016,Colombia,6.357,1.0,95.3807152978726,58.1365,0.28,104373.0,5959.84250367574,0.772,0.414,63.0,17.312215487627,4.31
2016,Congo,4.291,1.0,71.7973477617,8.12195,0.05,-14783.0,2093.10728558843,0.64,0.614,28.0,28.2160787153425,6.58
2016,Costa Rica,7.079,0.0,99.3263015038118,65.8804,2.52,1649.0,12091.0301606154,0.805,0.278,90.0,16.8973562895418,6.83
2016,Croatia,5.293,0.0,99.9009796453255,72.6973,10.32,-32144.0,12820.1653893008,0.856,0.158,87.0,18.1778313300349,16.19
2016,Cyprus,5.621,0.0,99.7782153871909,75.9002,7.01,10951.0,24280.056640625,0.888,0.196,94.0,14.4813342529054,5.06
2016,Czechia,6.609,0.0,98.7307511669182,76.4812,0.0,5465.0,18753.9686718096,0.902,0.139,95.0,16.9928991704268,13.03
2016,Côte d’Ivoire,4.18,1.0,,41.2078,0.16,18568.0,1862.59597081287,0.53,0.633,51.0,55.6539855341019,7.82
2016,DR Congo,4.28,1.0,36.1678765737664,10.1,0.0,440748.0,459.765036590388,0.487,0.64,25.0,26.7550295099953,8.37
