Year,Country,Life_evaluation,Conflit,Water_Access,population using the Internet,Coastline,Net_Migration,GDP_per_capita,HDI,GII,Freedom_Score,PM25,Suicide_Rate
2014,Netherlands,7.378,0.0,100.0,91.6667,1.09,36591.0,53457.2234864322,0.939,0.038,99.0,12.61325866781,11.63
2014,New Zealand,7.286,0.0,100.0,84.0,5.63,57974.0,44618.266973847,0.932,0.141,97.0,6.59603176441408,11.69
2014,Nicaragua,5.828,0.0,,17.6,0.7,-25570.0,1958.37047579547,0.674,0.431,54.0,20.337626285854,5.18
2014,Niger,3.845,1.0,46.6360032875155,1.24868,0.0,3891.0,565.30989731175,0.369,0.664,56.0,71.6549794121069,4.52
2014,Nigeria,5.268,1.0,66.5036264382039,21.0,0.09,-19376.0,3088.72131316169,0.524,0.677,46.0,48.1823551711454,4.62
2014,North Cyprus,5.695,,,,,,,,,79.0,,
2014,North Macedonia,5.007,0.0,97.5745230862782,68.0585,0.0,-22132.0,5925.38592218015,0.788,0.166,64.0,33.7775349314159,6.36
2014,Norway,7.522,0.0,100.0,96.3005,7.77,38522.0,97666.6951838749,0.956,0.045,100.0,7.09267324687363,11.22
2014,Oman,6.853,0.0,89.7744741935216,70.22,0.98,75557.0,23160.6502252547,0.831,0.313,26.0,41.256352667596,2.04
2014,Pakistan,5.194,1.0,89.4591472805659,10.0,0.13,-2037920.0,1266.61340849959,0.522,0.572,42.0,71.7121701033462,6.33
2014,Panama,6.786,0.0,92.6983815513135,44.9238,3.18,7105.0,13213.1989591137,0.798,0.424,82.0,14.8554074199235,4.05
2014,Paraguay,5.878,0.0,92.8421252536178,43.0074,0.0,-16989.0,6652.25478942461,0.733,0.449,61.0,11.4592064094704,6.81
2014,Peru,5.824,0.0,89.8161834428489,40.2447,0.19,-50383.0,6667.13410360861,0.763,0.393,71.0,32.9197109468005,1.54
2014,Philippines,5.073,1.0,91.8806100613092,34.7,12.1,-196524.0,2866.83803761407,0.689,0.407,63.0,20.3368824432152,2.72
2014,Poland,5.791,0.0,95.5170444873157,66.5987,0.16,5525.0,14262.2841914116,0.873,0.144,93.0,23.433827803997,17.37
2014,Portugal,5.102,0.0,99.1752179705085,64.5924,1.94,-26447.0,22120.6850127107,0.854,0.091,97.0,9.50576236832378,14.23
2014,Qatar,6.611,0.0,99.9398022260297,91.49,4.92,194712.0,95840.6898934238,0.857,0.662,28.0,75.1764824465315,7.61
2014,Republic of Korea,5.984,0.0,99.3370761138281,87.5568,2.45,308037.0,30667.0912467447,0.91,0.07,85.0,28.3760075385872,29.35
2014,Republic of Moldova,5.889,0.0,,67.0,0.0,-67175.0,3289.95758568777,0.762,0.248,64.0,18.7371163449526,16.18
2014,Romania,5.124,0.0,100.0,54.0783,0.09,-35448.0,10031.7710755404,0.82,0.293,84.0,17.9898360506608,11.33
2014,Russian Federation,5.716,1.0,96.6274699098944,70.5176,0.22,264698.0,14055.47265625,0.831,0.221,26.0,14.2481805159069,32.61
2014,Rwanda,3.465,0.0,55.6650639617623,10.6,0.0,-19505.0,724.957526520906,0.525,0.42,26.0,31.8689793191915,7.76
2014,Saudi Arabia,6.411,0.0,99.0565545012609,64.7137,0.13,469144.0,27805.4850319422,0.841,0.308,10.0,51.0877522409227,0.96
2014,Senegal,3.904,0.0,76.46896680992,17.7,0.27,36030.0,1398.89137601382,0.508,0.529,79.0,54.8894665378893,7.19
2014,Serbia,5.123,0.0,92.8689758961741,62.0751,0.0,-18846.0,6886.67809068704,0.795,0.16,78.0,28.0367329195926,18.09
2014,Sierra Leone,4.507,0.0,56.3992358539249,6.0573,0.56,485.0,1117.7586465721,0.438,0.637,67.0,36.2193735145078,5.48
2014,Singapore,6.798,0.0,100.0,79.0292,27.85,40154.0,57564.8023114977,0.934,0.054,51.0,17.2816885850335,9.43
2014,Slovakia,5.995,0.0,99.7867504210911,79.9843,0.0,-1158.0,18770.9289896545,0.859,0.191,91.0,19.2661010504213,12.97
2014,Slovenia,5.848,0.0,99.6194514525228,71.5863,0.23,-70.0,24013.0682060959,0.907,0.066,91.0,17.79704248843,19.54
2014,Somaliland Region,5.057,,,,,,,,,46.0,,
2014,South Africa,4.642,0.0,92.4843371456174,49.0,0.23,272697.0,6856.73137092522,0.713,0.429,81.0,24.5484834922425,20.07
2014,Spain,6.329,0.0,99.926942900271,76.1867,0.98,-97870.0,29707.765509467,0.89,0.079,96.0,10.5798592110443,8.6
2014,Sri Lanka,4.271,0.0,87.5563586215225,10.5,2.04,-33672.0,3972.04375736464,0.767,0.374,42.0,19.7831265390581,15.03
2014,State of Palestine,4.715,1.0,98.968060270875,53.6652,,-27077.0,3352.11259506043,0.7,,31.0,29.2886843311089,0.92
2014,Sudan,4.55,1.0,55.2880772698351,,0.03,92504.0,1275.43835449219,0.496,0.588,7.0,49.516943286103,3.55
2014,Suriname,6.269,0.0,95.3013933634171,40.08,0.24,-959.0,9108.18905406764,0.715,0.489,77.0,25.5794924051723,24.51
2014,Swaziland,4.867,0.0,,,0.0,,,,,,,
2014,Sweden,7.364,0.0,99.6586774345315,92.5236,0.72,77654.0,59583.4584491714,0.943,0.042,99.0,6.77228861428546,14.84
2014,Switzerland,7.587,0.0,99.9999983307103,83.6173,0.0,78122.0,88724.9909402638,0.956,0.041,96.0,10.6156284957703,14.78
2014,Syria,3.006,1.0,93.1852908581408,28.09,0.1,-1457679.0,1060.59105886854,0.561,0.491,1.0,25.7324188924062,0.61
2014,Taiwan Province of China,6.298,0.0,,,4.35,,,,,88.0,,
2014,Tajikistan,4.786,0.0,76.8237114189289,17.49,0.0,-13962.0,1081.54402932039,0.657,0.339,24.0,46.6700130134501,2.87
2014,Tanzania,3.781,0.0,49.1277716374045,7.0,0.15,-21083.0,1022.74841308594,0.521,0.541,64.0,24.2244900980476,3.96
2014,Thailand,6.455,1.0,98.2288774371451,34.8861,0.63,55358.0,5801.1978916205,0.784,0.408,54.0,29.9705384622081,10.45
2014,Togo,2.839,0.0,58.9022839214157,5.7,0.1,-1976.0,855.584809246574,0.514,0.594,47.0,43.0636342660236,9.78
2014,Trinidad and Tobago,6.168,0.0,97.9572291808289,62.4,7.06,-799.0,21908.3014555644,0.805,0.31,81.0,24.08935817098,11.71
2014,Tunisia,4.739,1.0,92.5674570508114,46.16,0.7,-26586.0,4458.97895464547,0.725,0.28,63.0,25.1638447684439,2.55
2014,Turkmenistan,5.548,0.0,96.4221394795384,12.2,0.0,8696.0,7164.14536184006,0.719,,7.0,25.0725134160111,7.42
2014,Türkiye,5.332,0.0,95.0383332367469,51.0374,0.92,1033384.0,12209.3862327674,0.813,0.344,60.0,23.4874858374985,3.22
2014,Uganda,3.931,0.0,46.4945464801436,5.4,0.0,-92273.0,896.054795546394,0.539,0.546,37.0,34.111616669843,4.77
2014,Ukraine,4.681,1.0,93.2856866411736,46.236,0.46,-65678.0,3054.908203125,0.788,,55.0,18.4263235330655,25.5
2014,United Arab Emirates,6.901,0.0,99.903989878004,90.4,1.59,360174.0,52725.2358407934,0.853,0.139,21.0,38.4444708976302,2.46
2014,United Kingdom,6.867,0.0,100.0,91.6133,5.08,306091.0,47746.2421759562,0.932,0.143,97.0,10.8076454562065,8.45
2014,United States,7.119,0.0,99.3476415086967,73.0,0.21,1672598.0,54973.4207515712,0.926,0.221,92.0,8.5101265108009,14.1
2014,Uruguay,6.485,0.0,98.9811512329588,61.4625,0.37,-4919.0,18322.4276767157,0.816,0.326,98.0,10.4423977068601,17.58
2014,Uzbekistan,6.003,0.0,93.6104838496586,35.5,0.0,-20381.0,2674.9628382103,0.703,0.272,4.0,39.4888403264479,11.65
2014,Venezuela,6.81,1.0,94.7483698690897,57.0,0.31,-62437.0,7096.22047105512,0.77,0.489,38.0,19.2869938244399,5.67
2014,Viet Nam,5.36,0.0,91.6663943913083,41.0,1.05,-4894.0,2546.38464459903,0.711,0.341,20.0,20.4035064934273,7.48
2014,Yemen,4.077,1.0,58.2398155721422,22.55,0.36,15764.0,1430.16420964026,0.502,0.815,26.0,38.0825068778276,4.84
2014,Zambia,5.129,0.0,62.6251910477069,6.5,0.0,16574.0,1707.48573136694,0.559,0.569,59.0,26.0707378042456,5.65
2014,Zimbabwe,4.61,0.0,67.3943560141551,16.3647,0.0,-177029.0,1372.91526173161,0.56,0.538,28.0,23.4292525344579,14.06
